,,,Node1,Node2,Node3,Node4
period1,sc01,t0343,, 2.5 , 2.5 ,
period1,sc01,t0344,, 2.5 , 2.5 ,
period1,sc01,t0345,, 2.5 , 2.5 ,
period1,sc01,t0346,, 2.5 , 2.5 ,
period1,sc01,t0347,, 2.5 , 2.5 ,
period1,sc01,t0348,, 2.5 , 2.5 ,
period1,sc01,t0349,, 2.5 , 2.5 ,
period1,sc01,t0350,, 2.5 , 2.5 ,
period1,sc01,t0351,, 2.5 , 2.5 ,
period1,sc01,t0352,, 2.5 , 2.5 ,
period1,sc01,t0353,, 2.5 , 2.5 ,
period1,sc01,t0354,, 2.5 , 2.5 ,
period1,sc01,t0355,, 2.5 , 2.5 ,
period1,sc01,t0356,, 2.5 , 2.5 ,
period1,sc01,t0357,, 2.5 , 2.5 ,
period1,sc01,t0358,, 2.5 , 2.5 ,
period1,sc01,t0359,, 2.5 , 2.5 ,
period1,sc01,t0360,, 2.5 , 2.5 ,
period1,sc01,t0361,, 2.5 , 2.5 ,
period1,sc01,t0362,, 2.5 , 2.5 ,
period1,sc01,t0363,, 2.5 , 2.5 ,
period1,sc01,t0364,, 2.5 , 2.5 ,
period1,sc01,t0365,, 2.5 , 2.5 ,
period1,sc01,t0366,, 2.5 , 2.5 ,
period1,sc01,t0367,, 2.5 , 2.5 ,
period1,sc01,t0368,, 2.5 , 2.5 ,
period1,sc01,t0369,, 2.5 , 2.5 ,
period1,sc01,t0370,, 2.5 , 2.5 ,
period1,sc01,t0371,, 2.5 , 2.5 ,
period1,sc01,t0372,, 2.5 , 2.5 ,
period1,sc01,t0373,, 2.5 , 2.5 ,
period1,sc01,t0374,, 2.5 , 2.5 ,
period1,sc01,t0375,, 2.5 , 2.5 ,
period1,sc01,t0376,, 2.5 , 2.5 ,
period1,sc01,t0377,, 2.5 , 2.5 ,
period1,sc01,t0378,, 2.5 , 2.5 ,
period1,sc01,t0379,, 2.5 , 2.5 ,
period1,sc01,t0380,, 2.5 , 2.5 ,
period1,sc01,t0381,, 2.5 , 2.5 ,
period1,sc01,t0382,, 2.5 , 2.5 ,
period1,sc01,t0383,, 2.5 , 2.5 ,
period1,sc01,t0384,, 2.5 , 2.5 ,
period1,sc01,t0385,, 2.5 , 2.5 ,
period1,sc01,t0386,, 2.5 , 2.5 ,
period1,sc01,t0387,, 2.5 , 2.5 ,
period1,sc01,t0388,, 2.5 , 2.5 ,
period1,sc01,t0389,, 2.5 , 2.5 ,
period1,sc01,t0390,, 2.5 , 2.5 ,
period1,sc01,t0391,, 2.5 , 2.5 ,
period1,sc01,t0392,, 2.5 , 2.5 ,
period1,sc01,t0393,, 2.5 , 2.5 ,
period1,sc01,t0394,, 2.5 , 2.5 ,
period1,sc01,t0395,, 2.5 , 2.5 ,
period1,sc01,t0396,, 2.5 , 2.5 ,
period1,sc01,t0397,, 2.5 , 2.5 ,
period1,sc01,t0398,, 2.5 , 2.5 ,
period1,sc01,t0399,, 2.5 , 2.5 ,
period1,sc01,t0400,, 2.5 , 2.5 ,
period1,sc01,t0401,, 2.5 , 2.5 ,
period1,sc01,t0402,, 2.5 , 2.5 ,
period1,sc01,t0403,, 2.5 , 2.5 ,
period1,sc01,t0404,, 2.5 , 2.5 ,
period1,sc01,t0405,, 2.5 , 2.5 ,
period1,sc01,t0406,, 2.5 , 2.5 ,
period1,sc01,t0407,, 2.5 , 2.5 ,
period1,sc01,t0408,, 2.5 , 2.5 ,
period1,sc01,t0409,, 2.5 , 2.5 ,
period1,sc01,t0410,, 2.5 , 2.5 ,
period1,sc01,t0411,, 2.5 , 2.5 ,
period1,sc01,t0412,, 2.5 , 2.5 ,
period1,sc01,t0413,, 2.5 , 2.5 ,
period1,sc01,t0414,, 2.5 , 2.5 ,
period1,sc01,t0415,, 2.5 , 2.5 ,
period1,sc01,t0416,, 2.5 , 2.5 ,
period1,sc01,t0417,, 2.5 , 2.5 ,
period1,sc01,t0418,, 2.5 , 2.5 ,
period1,sc01,t0419,, 2.5 , 2.5 ,
period1,sc01,t0420,, 2.5 , 2.5 ,
period1,sc01,t0421,, 2.5 , 2.5 ,
period1,sc01,t0422,, 2.5 , 2.5 ,
period1,sc01,t0423,, 2.5 , 2.5 ,
period1,sc01,t0424,, 2.5 , 2.5 ,
period1,sc01,t0425,, 2.5 , 2.5 ,
period1,sc01,t0426,, 2.5 , 2.5 ,
period1,sc01,t0427,, 2.5 , 2.5 ,
period1,sc01,t0428,, 2.5 , 2.5 ,
period1,sc01,t0429,, 2.5 , 2.5 ,
period1,sc01,t0430,, 2.5 , 2.5 ,
period1,sc01,t0431,, 2.5 , 2.5 ,
period1,sc01,t0432,, 2.5 , 2.5 ,
