,Period,Scenario,LoadLevel,Date,Component,MW
220,period1,sc01,t0111,2024-09-21 02:29:00,BESS,0.5427368288167065
221,period1,sc01,t0111,2024-09-21 02:29:00,Wind,7.419500000000001
222,period1,sc01,t0112,2024-09-21 03:29:00,BESS,1.4832368288167068
223,period1,sc01,t0112,2024-09-21 03:29:00,Wind,6.479
224,period1,sc01,t0113,2024-09-21 04:29:00,BESS,3.468736828816707
225,period1,sc01,t0113,2024-09-21 04:29:00,Wind,4.4935
226,period1,sc01,t0114,2024-09-21 05:29:00,BESS,4.827236828816708
227,period1,sc01,t0114,2024-09-21 05:29:00,Wind,3.135
228,period1,sc01,t0115,2024-09-21 06:29:00,BESS,5.036236828816707
229,period1,sc01,t0115,2024-09-21 06:29:00,Wind,2.926
230,period1,sc01,t0116,2024-09-21 07:29:00,BESS,3.573236828816707
231,period1,sc01,t0116,2024-09-21 07:29:00,Wind,4.389
232,period1,sc01,t0117,2024-09-21 08:29:00,BESS,0.8562368288167069
233,period1,sc01,t0117,2024-09-21 08:29:00,Wind,7.106000000000001
234,period1,sc01,t0118,2024-09-21 09:29:00,BESS,0.0
235,period1,sc01,t0118,2024-09-21 09:29:00,Wind,9.5095
236,period1,sc01,t0119,2024-09-21 10:29:00,BESS,0.0
237,period1,sc01,t0119,2024-09-21 10:29:00,Wind,10.868
238,period1,sc01,t0120,2024-09-21 11:29:00,BESS,0.0
239,period1,sc01,t0120,2024-09-21 11:29:00,Wind,11.077
240,period1,sc01,t0121,2024-09-21 12:29:00,BESS,0.0
241,period1,sc01,t0121,2024-09-21 12:29:00,Wind,10.45
242,period1,sc01,t0122,2024-09-21 13:29:00,BESS,0.0
243,period1,sc01,t0122,2024-09-21 13:29:00,Wind,9.405
244,period1,sc01,t0123,2024-09-21 14:29:00,BESS,0.0
245,period1,sc01,t0123,2024-09-21 14:29:00,Wind,8.2555
246,period1,sc01,t0124,2024-09-21 15:29:00,BESS,0.0
247,period1,sc01,t0124,2024-09-21 15:29:00,Wind,7.0015
248,period1,sc01,t0125,2024-09-21 16:29:00,BESS,0.0
249,period1,sc01,t0125,2024-09-21 16:29:00,Wind,6.374500000000001
250,period1,sc01,t0126,2024-09-21 17:29:00,BESS,0.0
251,period1,sc01,t0126,2024-09-21 17:29:00,Wind,6.479
252,period1,sc01,t0127,2024-09-21 18:29:00,BESS,0.0
253,period1,sc01,t0127,2024-09-21 18:29:00,Wind,7.2105
254,period1,sc01,t0128,2024-09-21 19:29:00,BESS,0.0
255,period1,sc01,t0128,2024-09-21 19:29:00,Wind,8.569
