LoadLevel,Hour
t1442,h02
t1443,h03
t1444,h04
t1445,h05
t1446,h06
t1447,h07
t1448,h08
t1449,h09
t1450,h10
t1451,h11
t1452,h12
t1453,h13
t1454,h14
t1455,h15
t1456,h16
t1457,h17
t1458,h18
t1459,h19
t1460,h20
t1461,h21
t1462,h22
t1463,h23
t1464,h24
t1465,h01
t1466,h02
t1467,h03
t1468,h04
t1469,h05
t1470,h06
t1471,h07
t1472,h08
t1473,h09
t1474,h10
t1475,h11
t1476,h12
t1477,h13
t1478,h14
t1479,h15
t1480,h16
t1481,h17
t1482,h18
t1483,h19
t1484,h20
t1485,h21
t1486,h22
t1487,h23
t1488,h24
t1489,h01
t1490,h02
t1491,h03
t1492,h04
t1493,h05
t1494,h06
t1495,h07
t1496,h08
t1497,h09
t1498,h10
t1499,h11
t1500,h12
t1501,h13
t1502,h14
t1503,h15
t1504,h16
t1505,h17
t1506,h18
t1507,h19
t1508,h20
t1509,h21
t1510,h22
t1511,h23
t1512,h24
t1513,h01
t1514,h02
t1515,h03
t1516,h04
t1517,h05
t1518,h06
t1519,h07
t1520,h08
t1521,h09
t1522,h10
t1523,h11
t1524,h12
t1525,h13
t1526,h14
t1527,h15
t1528,h16
t1529,h17
t1530,h18
t1531,h19
t1532,h20
t1533,h21
t1534,h22
t1535,h23
t1536,h24
t1537,h01
t1538,h02
t1539,h03
t1540,h04
t1541,h05
t1542,h06
t1543,h07
t1544,h08
t1545,h09
t1546,h10
t1547,h11
t1548,h12
t1549,h13
t1550,h14
t1551,h15
t1552,h16
t1553,h17
t1554,h18
t1555,h19
t1556,h20
t1557,h21
t1558,h22
t1559,h23
t1560,h24
t1561,h01
t1562,h02
t1563,h03
t1564,h04
t1565,h05
t1566,h06
t1567,h07
t1568,h08
t1569,h09
t1570,h10
t1571,h11
t1572,h12
t1573,h13
t1574,h14
t1575,h15
t1576,h16
t1577,h17
t1578,h18
t1579,h19
t1580,h20
t1581,h21
t1582,h22
t1583,h23
t1584,h24
t1585,h01
t1586,h02
t1587,h03
t1588,h04
t1589,h05
t1590,h06
t1591,h07
t1592,h08
t1593,h09
t1594,h10
t1595,h11
t1596,h12
t1597,h13
t1598,h14
t1599,h15
t1600,h16
t1601,h17
t1602,h18
t1603,h19
t1604,h20
t1605,h21
t1606,h22
t1607,h23
t1608,h24
t1609,h01
t1610,h02
t1611,h03
t1612,h04
t1613,h05
t1614,h06
t1615,h07
t1616,h08
t1617,h09
t1618,h10
t1619,h11
t1620,h12
t1621,h13
t1622,h14
t1623,h15
t1624,h16
t1625,h17
t1626,h18
t1627,h19
t1628,h20
t1629,h21
t1630,h22
t1631,h23
t1632,h24
t1633,h01
t1634,h02
t1635,h03
t1636,h04
t1637,h05
t1638,h06
t1639,h07
t1640,h08
t1641,h09
t1642,h10
t1643,h11
t1644,h12
t1645,h13
t1646,h14
t1647,h15
t1648,h16
t1649,h17
t1650,h18
t1651,h19
t1652,h20
t1653,h21
t1654,h22
