Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,Date,MW
period1,sc01,t0062,Node3,Node4,p1,2024-09-19 01:29:00,0.14012792459181972
period1,sc01,t0063,Node2,Node3,p1,2024-09-19 02:29:00,0.14012792459181972
period1,sc01,t0063,Node2,Node4,p1,2024-09-19 02:29:00,-0.0
period1,sc01,t0063,Node3,Node4,p1,2024-09-19 02:29:00,0.14012792459181972
period1,sc01,t0064,Node2,Node3,p1,2024-09-19 03:29:00,0.14012792459181972
period1,sc01,t0064,Node2,Node4,p1,2024-09-19 03:29:00,-0.0
period1,sc01,t0064,Node3,Node4,p1,2024-09-19 03:29:00,0.14012792459181972
period1,sc01,t0065,Node2,Node3,p1,2024-09-19 04:29:00,0.14012792459181972
period1,sc01,t0065,Node2,Node4,p1,2024-09-19 04:29:00,-0.0
period1,sc01,t0065,Node3,Node4,p1,2024-09-19 04:29:00,0.14012792459181972
period1,sc01,t0066,Node2,Node3,p1,2024-09-19 05:29:00,0.14012792459181972
period1,sc01,t0066,Node2,Node4,p1,2024-09-19 05:29:00,-0.0
period1,sc01,t0066,Node3,Node4,p1,2024-09-19 05:29:00,0.14012792459181972
period1,sc01,t0067,Node2,Node3,p1,2024-09-19 06:29:00,0.14012792459181972
period1,sc01,t0067,Node2,Node4,p1,2024-09-19 06:29:00,-0.0
period1,sc01,t0067,Node3,Node4,p1,2024-09-19 06:29:00,0.14012792459181972
period1,sc01,t0068,Node2,Node3,p1,2024-09-19 07:29:00,0.14012792459181972
period1,sc01,t0068,Node2,Node4,p1,2024-09-19 07:29:00,-0.0
period1,sc01,t0068,Node3,Node4,p1,2024-09-19 07:29:00,0.14012792459181972
period1,sc01,t0069,Node2,Node3,p1,2024-09-19 08:29:00,0.14012792459181972
period1,sc01,t0069,Node2,Node4,p1,2024-09-19 08:29:00,-0.0
period1,sc01,t0069,Node3,Node4,p1,2024-09-19 08:29:00,0.14012792459181972
period1,sc01,t0070,Node2,Node3,p1,2024-09-19 09:29:00,0.14012792459181972
