,,,SolarPV_01,Wind_01,BESS_01,AEL_01,PEMEL_01
period1,sc01,t0284, 1.27012083333333E-05 , 9.27310679611651 ,,,
period1,sc01,t0285, 7.25783333333333E-06 , 8.96873786407767 ,,,
period1,sc01,t0286, 0.000003901085 , 9.13106796116505 ,,,
period1,sc01,t0287, 3.81036333333333E-06 , 9.25281553398058 ,,,
period1,sc01,t0288, 0.000004808315 , 9.07019417475728 ,,,
period1,sc01,t0289, 3.71963916666667E-06 , 8.70495145631068 ,,,
period1,sc01,t0290, 3.08457916666667E-06 , 8.27883495145631 ,,,
period1,sc01,t0291, 3.44747166666667E-06 , 7.69038834951456 ,,,
period1,sc01,t0292, 0.0000044454225 , 6.95990291262136 ,,,
period1,sc01,t0293, 3.81036333333333E-06 , 6.18883495145631 ,,,
period1,sc01,t0294, 6.62277333333333E-06 , 5.5395145631068 ,,,
period1,sc01,t0295, 0.0000137898825 , 5.0931067961165 ,,,
period1,sc01,t0296, 0.00014297932 , 4.78873786407767 ,,,
period1,sc01,t0297, 0.05918581745 , 4.28145631067961 ,,,
period1,sc01,t0298, 1.48548345675 , 2.47553398058252 ,,,
period1,sc01,t0299, 4.196039305 , 1.40009708737864 ,,,
period1,sc01,t0300, 6.2222322625 , 0.831941747572816 ,,,
period1,sc01,t0301, 7.206484295 , 0.507281553398058 ,,,
period1,sc01,t0302, 7.44415566 , 0.304368932038835 ,,,
period1,sc01,t0303, 7.07445251 , 0.202912621359223 ,,,
period1,sc01,t0304, 5.92121906 , 0.26378640776699 ,,,
period1,sc01,t0305, 3.757387645 , 0.689902912621359 ,,,
period1,sc01,t0306, 0.97878416325 , 1.3595145631068 ,,,
period1,sc01,t0307, 0.00037767951 , 2.09 ,,,
period1,sc01,t0308, 1.47878366666667E-05 , 2.69873786407767 ,,,
period1,sc01,t0309, 9.79807583333334E-06 , 3.10456310679612 ,,,
period1,sc01,t0310, 3.71963916666667E-06 , 3.24660194174757 ,,,
period1,sc01,t0311, 0.0000043547 , 3.28718446601942 ,,,
period1,sc01,t0312, 0.0000043547 , 3.42922330097087 ,,,
period1,sc01,t0313, 5.08048333333333E-06 , 3.6321359223301 ,,,
period1,sc01,t0314, 5.26192916666667E-06 , 3.71330097087379 ,,,
period1,sc01,t0315, 5.53409833333333E-06 , 3.51038834951456 ,,,
period1,sc01,t0316, 0.0000047175925 , 2.8204854368932 ,,,
period1,sc01,t0317, 3.71963916666667E-06 , 2.11029126213592 ,,,
period1,sc01,t0318, 5.26192916666667E-06 , 1.70446601941748 ,,,
period1,sc01,t0319, 1.06145816666667E-05 , 1.50155339805825 ,,,
period1,sc01,t0320, 1.39713294166667E-04 , 1.52184466019417 ,,,
period1,sc01,t0321, 0.05815974125 , 1.60300970873786 ,,,
period1,sc01,t0322, 1.191048575 , 1.27834951456311 ,,,
period1,sc01,t0323, 3.5365036475 , 1.60300970873786 ,,,
period1,sc01,t0324, 5.3538397425 , 2.8204854368932 ,,,
period1,sc01,t0325, 6.4878635225 , 3.6321359223301 ,,,
period1,sc01,t0326, 6.91096074 , 4.28145631067961 ,,,
period1,sc01,t0327, 6.65807514 , 4.56553398058252 ,,,
period1,sc01,t0328, 5.655157775 , 4.76844660194175 ,,,
period1,sc01,t0329, 3.7234645325 , 5.25543689320388 ,,,
period1,sc01,t0330, 0.961871597 , 6.0873786407767 ,,,
period1,sc01,t0331, 3.39485160833333E-04 , 6.27 ,,,
period1,sc01,t0332, 1.04331358333333E-05 , 6.14825242718447 ,,,
period1,sc01,t0333, 8.34650833333333E-06 , 5.94533980582524 ,,,
period1,sc01,t0334, 0.000004173255 , 5.41776699029126 ,,,
period1,sc01,t0335, 0.0000043547 , 4.60611650485437 ,,,
period1,sc01,t0336, 3.44747166666667E-06 , 3.71330097087379 ,,,
period1,sc01,t0337, 3.99180916666667E-06 , 2.92194174757282 ,,,
period1,sc01,t0338, 0.00000498976 , 2.25233009708738 ,,,
period1,sc01,t0339, 0.000004173255 , 1.82621359223301 ,,,
period1,sc01,t0340, 3.71963916666667E-06 , 1.7247572815534 ,,,
period1,sc01,t0341, 0.0000044454225 , 1.70446601941748 ,,,
period1,sc01,t0342, 7.25783333333333E-06 , 1.52184466019417 ,,,
period1,sc01,t0343, 1.26104866666667E-05 , 1.29864077669903 ,,,
period1,sc01,t0344, 1.40076185833333E-04 , 1.21747572815534 ,,,
period1,sc01,t0345, 0.0938274566 , 1.23776699029126 ,,,
period1,sc01,t0346, 1.58430248775 , 0.95368932038835 ,,,
period1,sc01,t0347, 3.8081607225 , 1.13631067961165 ,,,
